species,alat,energy,order_d,led,status
"Ni,Co,Fe,Cr,Mn",1.8198227539062501,140978711.1266259,0,36496397.58459947,False
"Ni,Co,Fe,Cr,Mn",1.8298227539062502,132892682.84914498,0,-121024022.7161258,False
"Ni,Co,Fe,Cr,Mn",1.8398227539062502,73515814.5555968,0,154890337.4317006,False
"Ni,Co,Fe,Cr,Mn",1.8498227539062502,162510372.0235535,0,-88189838.1956767,False
"Ni,Co,Fe,Cr,Mn",1.8598227539062502,109557578.25081033,0,-17076275.326576266,False
"Ni,Co,Fe,Cr,Mn",1.8698227539062502,63699638.045589365,0,72418313.2924227,False
"Ni,Co,Fe,Cr,Mn",1.8798227539062502,84200708.85247912,0,-63964385.60595478,False
"Ni,Co,Fe,Cr,Mn",1.8898227539062502,38089248.79297706,0,22782269.181826435,False
"Ni,Co,Fe,Cr,Mn",1.8998227539062502,34667896.42002582,0,18425491.837104693,False
"Ni,Co,Fe,Cr,Mn",1.9098227539062502,41727157.082284465,0,-34375074.42848603,False
"Ni,Co,Fe,Cr,Mn",1.9198227539062502,22239018.01508717,0,8148298.886802149,False
"Ni,Co,Fe,Cr,Mn",1.92982275390625,44909899.36307139,0,39849294.14722901,False
"Ni,Co,Fe,Cr,Mn",1.9398227539062503,77930207.60926163,0,-51331501.0109674,False
"Ni,Co,Fe,Cr,Mn",1.94982275390625,37864128.89588238,0,15558310.507314974,False
"Ni,Co,Fe,Cr,Mn",1.95982275390625,28745393.907732155,0,21941206.92801858,False
"Ni,Co,Fe,Cr,Mn",1.96982275390625,34088271.806379,0,-32325547.268960513,False
"Ni,Co,Fe,Cr,Mn",1.97982275390625,10237433.274050329,0,16833602.483011443,False
"Ni,Co,Fe,Cr,Mn",1.98982275390625,18015192.081744432,0,409987.7880928898,False
"Ni,Co,Fe,Cr,Mn",1.99982275390625,28768221.475467343,0,6121576.434803294,False
"Ni,Co,Fe,Cr,Mn",2.00982275390625,25369169.07430151,0,-23801612.602350354,False
"Ni,Co,Fe,Cr,Mn",2.0198227539062503,4676583.598963162,0,25017889.847000677,False
"Ni,Co,Fe,Cr,Mn",2.02982275390625,14264373.480622053,0,-10436242.898201147,False
"Ni,Co,Fe,Cr,Mn",2.0398227539062503,9612131.24679936,0,-3195506.478207583,False
"Ni,Co,Fe,Cr,Mn",2.04982275390625,4212472.60337174,0,8790073.077324972,False
"Ni,Co,Fe,Cr,Mn",2.05982275390625,6953579.0453644665,0,-9268538.598493544,False
"Ni,Co,Fe,Cr,Mn",2.06982275390625,2946158.9877059152,0,8415140.881789591,False
"Ni,Co,Fe,Cr,Mn",2.0798227539062504,6263886.229177407,0,-8740002.675036978,False
"Ni,Co,Fe,Cr,Mn",2.08982275390625,4332168.361451929,0,11075128.344993751,False
"Ni,Co,Fe,Cr,Mn",2.09982275390625,8418992.059831686,0,-11637368.780148316,False
"Ni,Co,Fe,Cr,Mn",2.10982275390625,1194907.0330262198,0,7584504.050418155,False
"Ni,Co,Fe,Cr,Mn",2.11982275390625,3183796.093114933,0,-2814774.0050976695,False
"Ni,Co,Fe,Cr,Mn",2.12982275390625,2938662.4746571765,0,1458708.4320277357,False
"Ni,Co,Fe,Cr,Mn",2.13982275390625,2548654.1372011853,0,-2182953.07116276,False
"Ni,Co,Fe,Cr,Mn",2.14982275390625,750419.7346980632,0,1920559.124482296,False
"Ni,Co,Fe,Cr,Mn",2.15982275390625,1680359.2076681945,0,-568661.0279171052,False
"Ni,Co,Fe,Cr,Mn",2.1698227539062502,1776905.3562246882,0,6203.942445612667,False
"Ni,Co,Fe,Cr,Mn",2.17982275390625,1303878.5869671528,0,-788522.3330294657,False
"Ni,Co,Fe,Cr,Mn",2.1898227539062503,938520.7454790649,0,1855564.31385908,False
"Ni,Co,Fe,Cr,Mn",2.19982275390625,1808718.7710014442,0,-2366944.350029339,False
"Ni,Co,Fe,Cr,Mn",2.2098227539062503,761870.6982560582,0,2385170.6283477237,False
"Ni,Co,Fe,Cr,Mn",2.21982275390625,1498271.5405999024,0,-2013653.6558695235,False
"Ni,Co,Fe,Cr,Mn",2.2298227539062503,369447.18984916667,0,1269158.3856625701,False
"Ni,Co,Fe,Cr,Mn",2.23982275390625,689178.186365578,0,-704153.7207392883,False
"Ni,Co,Fe,Cr,Mn",2.2498227539062503,651577.7838392579,0,617975.1386611185,False
"Ni,Co,Fe,Cr,Mn",2.25982275390625,946042.2632641436,0,-515141.9260882403,False
"Ni,Co,Fe,Cr,Mn",2.2698227539062503,532328.6085022583,0,300766.1255044167,False
"Ni,Co,Fe,Cr,Mn",2.27982275390625,348405.3382504231,0,-442552.9554334845,False
"Ni,Co,Fe,Cr,Mn",2.2898227539062503,219600.94951081468,0,765046.3620924521,False
"Ni,Co,Fe,Cr,Mn",2.29982275390625,663200.6706174662,0,-662156.294085755,False
"Ni,Co,Fe,Cr,Mn",2.30982275390625,233128.72863536014,0,233588.25384780753,False
"Ni,Co,Fe,Cr,Mn",2.31982275390625,110226.5219151403,0,465.0100190423157,False
"Ni,Co,Fe,Cr,Mn",2.3298227539062504,129314.85557858169,0,-24925.107331350027,False
"Ni,Co,Fe,Cr,Mn",2.33982275390625,180723.46460543512,0,106962.23456042063,False
"Ni,Co,Fe,Cr,Mn",2.34982275390625,213081.07394768135,0,-222836.0945506401,False
"Ni,Co,Fe,Cr,Mn",2.35982275390625,83764.7545414308,0,201721.6309751782,False
"Ni,Co,Fe,Cr,Mn",2.3698227539062504,200673.3306694476,0,-42953.69149550831,False
