species,alat,energy,order_d,led,status
S,1.3699838867187595,4.950766469156009e+36,0,-3.769159151593642e+36,False
S,1.3799838867187595,2.578029435870707e+35,0,-4.6666521422964245e+35,False
S,1.3899838867187595,-7.215993076510348e+35,0,-3.876854879995889e+35,False
S,1.3999838867187595,-8.346348981139947e+35,0,7.834926749323507e+34,False
S,1.4099838867187595,-5.7046549760191514e+35,0,-9.378504213088592e+34,False
S,1.4199838867187595,-3.8633276015685515e+35,0,1.4456915594790854e+34,False
S,1.4299838867187595,-2.3746271910341607e+35,0,-3.380518048468925e+33,False
S,1.4399838867187595,-1.3977603983405727e+35,0,-1.1956899853282165e+33,False
S,1.4499838867187596,-8.314652624035097e+34,0,-2.4464359572794505e+33,False
S,1.4599838867187596,-5.168422900379561e+34,0,4.0581597158722584e+33,False
S,1.4699838867187593,-3.090958550778537e+34,0,-2.3060252040651696e+33,False
S,1.4799838867187596,-2.243203558128677e+34,0,2.0130368623130193e+33,False
S,1.4899838867187594,-1.9601063203605127e+34,0,-2.2664470136012802e+33,False
S,1.4999838867187594,-2.134234772877558e+34,0,4.007878414848266e+32,False
S,1.5099838867187594,-2.0079542711684957e+34,0,1.375260169528034e+33,False
S,1.5199838867187594,-1.5332957989679466e+34,0,-2.8178223422371748e+32,False
S,1.5299838867187594,-1.1314832633655726e+34,0,-5.961186231445716e+32,False
S,1.5399838867187594,-8.677773930892565e+33,0,3.4464154698310905e+32,False
S,1.5499838867187594,-6.205450790393333e+33,0,3.069205802839697e+31,False
S,1.5599838867187594,-4.3893054817533205e+33,0,-1.2371984544937347e+32,False
S,1.5699838867187594,-3.36070435326112e+33,0,6.80049318873799e+30,False
S,1.5799838867187594,-2.7067854837282356e+33,0,2.675489201256786e+31,False
S,1.5899838867187595,-2.2127777551853225e+33,0,-7.799492594189342e+30,False
S,1.5999838867187595,-1.8211978937497643e+33,0,-1.0629691045785558e+31,False
S,1.6099838867187595,-1.4713211175502632e+33,0,4.675411751561722e+31,False
S,1.6199838867187595,-1.1459780922919772e+33,0,-5.134333996769343e+31,False
S,1.6299838867187595,-9.353330775312348e+32,0,4.555167426013305e+31,False
S,1.6399838867187595,-7.563592215818312e+32,0,-3.6755693057435546e+31,False
S,1.6499838867187595,-6.608986013211893e+32,0,7.061217699650053e+30,False
S,1.6599838867187595,-5.623521766295622e+32,0,1.6663728711181782e+31,False
S,1.6699838867187595,-4.562139487346461e+32,0,-1.4797627687066658e+31,False
S,1.6799838867187595,-3.777036540136799e+32,0,3.832648415840703e+30,False
S,1.6899838867187595,-3.0178439172635493e+32,0,3.473796777671237e+30,False
S,1.6999838867187596,-2.3194839013721433e+32,0,-4.1514048997170215e+30,False
S,1.7099838867187596,-1.77221116020609e+32,0,3.183454959281961e+30,False
S,1.7199838867187593,-1.3131849399467018e+32,0,-2.9150900099001e+30,False
S,1.7299838867187596,-9.755533591961123e+31,0,1.903778196271068e+30,False
S,1.7399838867187594,-6.974461114203618e+31,0,-3.328756796919884e+29,False
S,1.7499838867187596,-4.968798655434012e+31,0,-6.478702865015506e+29,False
S,1.7599838867187594,-3.575315741708284e+31,0,3.9825090128653024e+29,False
S,1.7699838867187594,-2.4871101437140754e+31,0,-1.5211934400707358e+29,False
S,1.7799838867187594,-1.6423300486716258e+31,0,4.308478397098242e+29,False
S,1.7899838867187594,-9.85223519561851e+30,0,-5.446305887931671e+29,False
S,1.7999838867187594,-5.574101015305887e+30,0,4.881567541431013e+29,False
S,1.8099838867187594,-2.3937211806270432e+30,0,-3.43121312189655e+29,False
