species,alat,energy,order_d,led,status
"Co,Cr,Fe,Ni",1.8198227539062501,129032219.9055903,0,-22463920.13689429,False
"Co,Cr,Fe,Ni",1.8298227539062502,107750453.91075002,0,70285330.36345951,False
"Co,Cr,Fe,Ni",1.8398227539062502,151064945.3630584,0,-33848750.96734615,False
"Co,Cr,Fe,Ni",1.8498227539062502,108006800.85315809,0,-43575114.985349745,False
"Co,Cr,Fe,Ni",1.8598227539062502,50125582.8140535,0,97599007.8134941,False
"Co,Cr,Fe,Ni",1.8698227539062502,68396803.71703368,0,-119990520.78417332,False
"Co,Cr,Fe,Ni",1.8798227539062502,11771236.159574006,0,103636684.17034556,False
"Co,Cr,Fe,Ni",1.8898227539062502,72768959.74630065,0,-55405686.33186467,False
"Co,Cr,Fe,Ni",1.8998227539062502,67536236.38395056,0,29311705.481141973,False
"Co,Cr,Fe,Ni",1.9098227539062502,57665615.30344491,0,-26465054.70330129,False
"Co,Cr,Fe,Ni",1.9198227539062502,17761815.06870105,0,527512.8040349453,False
"Co,Cr,Fe,Ni",1.92982275390625,11311956.463484462,0,39197425.953292266,False
"Co,Cr,Fe,Ni",1.9398227539062503,31895234.271600973,0,-57914466.98831177,False
"Co,Cr,Fe,Ni",1.94982275390625,6347994.101106447,0,55646157.22601159,False
"Co,Cr,Fe,Ni",1.95982275390625,29948288.10406035,0,-54311157.20999546,False
"Co,Cr,Fe,Ni",1.96982275390625,18929073.046655208,0,64828261.60402517,False
"Co,Cr,Fe,Ni",1.97982275390625,44355153.66528618,0,-69182089.6115655,False
"Co,Cr,Fe,Ni",1.98982275390625,6256239.406578284,0,50028532.13239551,False
"Co,Cr,Fe,Ni",1.99982275390625,22596514.051537327,0,-18270259.455693662,False
"Co,Cr,Fe,Ni",2.00982275390625,14182098.046156915,0,-4800328.58702479,False
"Co,Cr,Fe,Ni",2.0198227539062503,4832241.295791484,0,6388278.460407527,False
"Co,Cr,Fe,Ni",2.02982275390625,11757766.430994326,0,6579626.375916203,False
"Co,Cr,Fe,Ni",2.0398227539062503,16759097.285368845,0,-11721614.04879407,False
"Co,Cr,Fe,Ni",2.04982275390625,4555929.658013728,0,1594892.22691864,False
"Co,Cr,Fe,Ni",2.05982275390625,2264989.5690201675,0,8615983.845416619,False
"Co,Cr,Fe,Ni",2.06982275390625,9070348.966707418,0,-9300925.571565526,False
