species,alat,energy,order_d,led,status
"Cd,Te",1.3553785705566506,42901.12731655847,0,-306.105725538872,False
"Cd,Te",1.3653785705566506,41916.223807200724,0,221.26505848924594,False
"Cd,Te",1.3753785705566506,41259.0056206905,0,18.374648806118785,False
"Cd,Te",1.3853785705566506,40496.573401063164,0,-228.0172788806497,False
"Cd,Te",1.3953785705566506,39573.372103855574,0,261.90946296018103,False
"Cd,Te",1.4053785705566506,38921.43888894279,0,-139.67136126392626,False
"Cd,Te",1.4153785705566506,38092.299447254176,0,-56.54970369644676,False
"Cd,Te",1.4253785705566506,37328.424778534485,0,220.0700585345803,False
"Cd,Te",1.4353785705566506,36725.2030237603,0,-276.04089267718757,False
"Cd,Te",1.4453785705566506,35891.64124296134,0,240.98330189748714,False
"Cd,Te",1.4553785705566504,35270.78576642795,0,-123.39402006576347,False
"Cd,Te",1.4653785705566507,34483.47683864797,0,-55.55078276544009,False
"Cd,Te",1.4753785705566504,33774.24842969164,0,113.7257680774431,False
"Cd,Te",1.4853785705566505,33270.96411481703,0,60.787777237292175,False
"Cd,Te",1.4953785705566505,32651.512377877378,0,-250.80215588964467,False
"Cd,Te",1.5053785705566505,31826.16121978577,0,231.50872212160417,False
"Cd,Te",1.5153785705566505,31302.28482193889,0,-84.88407006907012,False
"Cd,Te",1.5253785705566505,30679.550610879138,0,14.057591172064955,False
"Cd,Te",1.5353785705566505,30038.971591024252,0,-82.5889095370118,False
"Cd,Te",1.5453785705566505,29433.60192425289,0,179.05354320413244,False
"Cd,Te",1.5553785705566505,28972.88247693702,0,-197.86022017410806,False
"Cd,Te",1.5653785705566505,28327.107362719868,0,162.53271680983744,False
"Cd,Te",1.5753785705566505,27801.745201740712,0,-85.15932809717197,False
"Cd,Te",1.5853785705566505,27150.277799590218,0,-26.222783465463483,False
"Cd,Te",1.5953785705566506,26549.3964481695,0,63.69921535477381,False
"Cd,Te",1.6053785705566506,26088.045957107068,0,-9.510085735496734,False
"Cd,Te",1.6153785705566506,25610.087952966067,0,-32.585105447114984,False
"Cd,Te",1.6253785705566506,25096.4961713729,0,38.68643813580881,False
"Cd,Te",1.6353785705566506,24608.29594260422,0,-27.575603861248357,False
"Cd,Te",1.6453785705566506,24091.05355890429,0,-8.08733355136792,False
"Cd,Te",1.6553785705566506,23606.99490329979,0,46.198283013400214,False
"Cd,Te",1.6653785705566506,23169.55182643236,0,-62.11418822441252,False
"Cd,Te",1.6753785705566506,22694.83814525038,0,52.855204215237485,False
"Cd,Te",1.6853785705566506,22278.83934108939,0,-21.56150694922265,False
"Cd,Te",1.6953785705566506,21824.72743032561,0,-0.9807562212887811,True
"Cd,Te",1.7053785705566504,21359.992189667366,0,1.5062843183277437,False
"Cd,Te",1.7153785705566507,20907.07211445976,0,-16.574194213097144,False
"Cd,Te",1.7253785705566504,20477.469881356938,0,52.72925941590984,False
"Cd,Te",1.7353785705566507,20080.790054232053,0,-60.839080999989164,False
"Cd,Te",1.7453785705566505,19625.29391889869,0,18.984279483277835,False
"Cd,Te",1.7553785705566505,19234.275039606317,0,24.72459114992489,False
"Cd,Te",1.7653785705566505,18881.02477304036,0,-42.39637100475981,False
"Cd,Te",1.7753785705566505,18502.737945221874,0,58.28772879395789,False
"Cd,Te",1.7853785705566505,18148.860398407083,0,-61.56737453167322,False
"Cd,Te",1.7953785705566505,17726.710765058837,0,40.03384893515673,False
"Cd,Te",1.8053785705566505,17351.206840610364,0,-22.361643818712157,False
"Cd,Te",1.8153785705566505,16975.46133627522,0,7.036501208602809,False
"Cd,Te",1.8253785705566505,16630.984972658236,0,18.97802291116932,False
"Cd,Te",1.8353785705566505,16293.516616843244,0,-36.99155088435782,False
"Cd,Te",1.8453785705566506,15925.242289644702,0,47.578363103442214,False
"Cd,Te",1.8553785705566506,15588.663303074693,0,-59.447476810022934,False
"Cd,Te",1.8653785705566506,15224.64695503679,0,37.50187759253579,False
"Cd,Te",1.8753785705566506,14937.896707946693,0,31.72547377026179,False
"Cd,Te",1.8853785705566506,14640.26732787211,0,-83.71464056328446,False
"Cd,Te",1.8953785705566506,14275.776150087964,0,58.351490904561004,False
"Cd,Te",1.9053785705566506,14010.955921697976,0,16.2378569884216,False
"Cd,Te",1.9153785705566504,13732.566958254954,0,-62.56118540698874,False
"Cd,Te",1.9253785705566506,13397.706089188161,0,47.16792125663778,False
"Cd,Te",1.9353785705566504,13131.233799733847,0,-2.6960286050052673,False
"Cd,Te",1.9453785705566506,12850.407118493315,0,-20.561988905961698,False
"Cd,Te",1.9553785705566504,12547.887144972752,0,8.662936031327868,False
"Cd,Te",1.9653785705566507,12275.562877953198,0,7.123594271244352,False
"Cd,Te",1.9753785705566504,12021.179282054774,0,-5.593625814284981,False
"Cd,Te",1.9853785705566507,11760.31490392466,0,1.5978231872619895,False
"Cd,Te",1.9953785705566505,11499.123437864573,0,3.002610054132977,False
"Cd,Te",2.0053785705566507,11240.771970945041,0,-29.474451121765924,False
"Cd,Te",2.0153785705566505,10995.027922128978,0,64.81638665198989,False
